premise,hypothesis,label,idx
"She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities.",She has chose to live a hollow life.,2,58
well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday,"All invasions of privacy should be severely punished, because it will teach the criminals that it is not worth doing.",1,59
He had never felt better.,The medicine he had taken had worked well.,1,60
The campaigns seem to reach a new pool of contributors.,New people chose to donate to the cause ,0,61
The Data Warehousing Institute provides education and training in the data warehousing and business intelligence industry.,Business intelligence industry is a new and promising field of study.,1,62
the net cost of operations.,The gross cost.,2,63
"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.",Jim Lehrer has no credibility whatsoever.,2,64
Tuppence rose.,Tuppence floated into the air.,1,65
From the corner of his eye he saw Jamus look over the broken mare.,Jamus looked over the mare.,0,66
"Even if you're the kind of traveler who likes to improvise and be adventurous, don't turn your nose up at the tourist offices.",There's nothing worth seeing in the tourist offices.,2,67
"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",Changes were made to the Grant Renewal Application to provide extra information to the LSC.,0,68
"'Dave Hanson, to whom nothing was impossible.' Well, we have a nearly impossible task: a task of engineering and building.",This building job will be very difficult to complete.,0,69
"Still, it would be interesting to know. 109 Poirot looked at me very earnestly, and again shook his head. ",Poirot did not look at me.,2,70
"But I'll take up my stand somewhere near, and when he comes out of the building I'll drop a handkerchief or something, and off you go!""","I want you to follow him, so watch for the signal that I give.",0,71
"There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.", Cook's American Business Alliance caused shares of stock to come back.,2,72
"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair.",I was dreadfully worried about many things. ,2,73
"Do you think Mrs. Inglethorp made a will leaving all her money to Miss Howard? I asked in a low voice, with some curiosity. ",I yelled at the top of my lungs.,2,74
Isn't a woman's body her most personal property?,"Women's bodies belong to themselves, they should decide what to do with it. ",1,75
that your approach is is is right you can actually go out and sub it if even if you don't wanna get hands on you can even just sub it out the concrete and those kind of things and and that's kind of the plan i have so um uh everyone i talk to uh i've,You can sub it even if you do not want to get your hands on it.,0,76
What changed?,What was unique?,1,77
oh i don't know either the other growing up all i knew was,I know because I learned it growing up,2,78
WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,2,79
Justice Kennedy does not care what law librarians across the country do with all the Supreme Court Reporters from 1790 through 1998.,Justice Kennedy doesn't care if the Supreme Court Reporters from 1790 to 1998 are thrown away.,0,80
The entire city was surrounded by open countryside with a scattering of small villages.,The whole countryside is scattered with small villages. ,0,81
substitute my my yeah my kid'll do uh four or five hours this week for me no problem,I just can't make the time because of my job.,1,82
it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up,The weird thing is that Iraq was never interested in that place until now.,2,83
The final rule contains a Federalism Assessment under Executive Order,The final rule had a federalism assessment that was added through executive order by the President.,1,84
"Prototyping, for example, may act as part of the requirements definition process, helping the agency identify and control areas of high uncertainty and technical risk.","Prototyping is not important, testing with the actual finished product is better.",2,85
"The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon's nephew, emerging triumphant.",France was ruled by Napoleon's nephew after they won a revolution in 1848.,0,86
Boats in daily use lie within feet of the fashionable bars and restaurants.,Bars and restaurants are interesting places.,1,87
so i guess my experience is is just with what we did and and so they didn't really go through the child care route they were able to be home together,They were able to be home rather than having to worry about getting child care.,0,88
DOD's common practice for managing this environment has been to create aggressive risk reduction efforts in its programs.,Creating risk reduction efforts is common practice.,0,89
 Then he ran.,He ran like an athlete.,1,90
you sound like this girl that i talked to about books and we got into movies one night,I found out about so many movies I had never heard of.,1,91
if the United States had used full conventional power.,The United States has no power to use.,2,92
yeah really no kidding,Really? No kidding! ,0,93
Visit at sundown or out of season to get the full flavor of the setting.,The setting is better to visit at sundown or during low season.,0,94
"In a further role reversal, Gingrich may have positioned himself to fill it.",Gingrich should not be in power.,1,95
"All of the islands are now officially and proudly part of France, not colonies as they were for some three centuries.",The islands are part of France now instead of just colonies.,0,96
"(For more information on BLM's senior executive performance plans, see app.",BLM's performance plans are visible online.,0,97
"While parents may pick up this gay semaphore, kids aren't likely to.",Some kids do understand gay signals.,1,98
"Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric.",Nation officials in Chicago are involved in religious issues.,0,99
Saddam could emerge strengthened (and America tarnished) in the eyes of the Arab world.,America's opinion on Saddam would also worsen.,1,100
